Stadium,City,matches,home_win_rate,away_win_rate,lat,lon
Busan Asiad Main Stadium,Busan,3,33.33333333333333,0.0,35.1900767,129.0595481
Bombonera - Estadio Nemesio Diez,Toluca,3,33.33333333333333,33.33333333333333,19.292545,-99.6569007
Tres de Marzo,Guadalajara,3,0.0,66.66666666666666,20.6720375,-103.338396
Vicente Calderon,Madrid,3,33.33333333333333,33.33333333333333,40.416782,-3.703507
Villa Park,Birmingham,3,66.66666666666666,0.0,52.5091264,-1.8850354
Volksparkstadion,Hamburg,3,66.66666666666666,33.33333333333333,53.5871535,9.8987056
Ayresome Park,Middlesbrough,3,66.66666666666666,0.0,54.566736,-1.2421523
Daejeon World Cup Stadium,Daejeon,3,66.66666666666666,33.33333333333333,36.3652534,127.3251074
San Mames,Bilbao,3,100.0,0.0,43.264204,-2.9493915
Nuevo Estadio,Elche,3,66.66666666666666,0.0,38.2653307,-0.6988391
Neza,Nezahualcoyotl,3,33.33333333333333,33.33333333333333,19.4079028,-99.0181547
Old Trafford Stadium,Manchester,3,100.0,0.0,53.4631096,-2.2913865
Oita Stadium Big Eye,Oita,3,0.0,33.33333333333333,33.2393864,131.6096524
Jeonju World Cup Stadium,Jeonju,3,66.66666666666666,33.33333333333333,35.8682089,127.0645509
Jose Amalfitani,Buenos Aires,3,100.0,0.0,-34.6353382,-58.5206788
Niigata Stadium Big Swan,Niigata,3,0.0,66.66666666666666,37.6452283,138.7669125
Jose Rico Perez,Alicante,3,100.0,0.0,38.3573459,-0.4925974
Jose Zorrilla,Valladolid,3,33.33333333333333,0.0,41.6445789,-4.7612638
Osaka Nagai Stadium,Osaka,3,0.0,66.66666666666666,34.6937569,135.5014539
Nazionale PNF,Rome,3,100.0,0.0,41.8933203,12.4829321
Kashima Stadium,Ibaraki,3,33.33333333333333,33.33333333333333,35.9920049,140.6403679
Munsu Football Stadium,Ulsan,3,66.66666666666666,33.33333333333333,35.535263,129.2594949
Miyagi Stadium,Rifu,3,33.33333333333333,33.33333333333333,38.3353606,140.9504567
Kobe Wing Stadium,Kobe,3,100.0,0.0,34.6566966,135.16976
La Rosaleda,Malaga,3,66.66666666666666,0.0,36.7349435,-4.4265346
Jeju World Cup Stadium,Jeju,3,66.66666666666666,33.33333333333333,33.2462695,126.5091071
La Romareda,Zaragoza,3,0.0,33.33333333333333,41.6379251,-0.903488
Independencia,Belo Horizonte,3,100.0,0.0,-20.0192692,-44.0335522
Incheon Football Stadium,Incheon,3,33.33333333333333,33.33333333333333,37.4661126,126.6430855
Giovanni Berta,Florence,3,66.66666666666666,0.0,43.7808838,11.2828191
Gwangju World Cup Stadium,Gwangju,3,33.33333333333333,33.33333333333333,35.1337706,126.8750042
